mba_number,version_number,campaign_status,line,component,schedule_cents,slice_cents,delta_cents,label
BICAU003,9,approved,*,total,3150005,3500000,-349995,Full-scope C1 drift: media on line billing-socialMedia::BICAU003SM1 — schedule $15750.05 vs approved slice $0.00 (Δ $15750.05).
BICAU003,9,approved,billing-socialMedia::BICAU003SM1,media,1575005,0,1575005,media billing-socialMedia::BICAU003SM1
BICAU003,9,approved,billing-socialMedia::BICAU003SM2,media,1575000,0,1575000,media billing-socialMedia::BICAU003SM2
BICAU003,9,approved,BICAU003SM1,media,0,1750003,-1750003,media BICAU003SM1
BICAU003,9,approved,BICAU003SM2,media,0,1749997,-1749997,media BICAU003SM2
candel001,23,approved,*,total,9660000,11700000,-2040000,Full-scope C1 drift: media on line billing-socialMedia::candel001SM1 — schedule $93600.00 vs approved slice $0.00 (Δ $93600.00).
candel001,23,approved,billing-socialMedia::candel001SM1,media,9360000,0,9360000,media billing-socialMedia::candel001SM1
candel001,23,approved,candel001SM1,media,0,11700000,-11700000,media candel001SM1
hartm001,22,booked,*,total,56028095,55762076,266019,Full-scope C1 drift: media on line billing-search::hartm001SE1 — schedule $97198.71 vs approved slice $0.00 (Δ $97198.71).
hartm001,22,booked,billing-search::hartm001SE1,media,9719871,0,9719871,media billing-search::hartm001SE1
hartm001,22,booked,billing-search::hartm001SE2,media,4534938,0,4534938,media billing-search::hartm001SE2
hartm001,22,booked,billing-search::hartm001SE3,media,3690588,0,3690588,media billing-search::hartm001SE3
hartm001,22,booked,billing-search::hartm001SE4,media,2855702,0,2855702,media billing-search::hartm001SE4
hartm001,22,booked,billing-search::hartm001SE5,media,3866956,0,3866956,media billing-search::hartm001SE5
hartm001,22,booked,billing-search::hartm001SE6,media,4544143,0,4544143,media billing-search::hartm001SE6
hartm001,22,booked,billing-search::hartm001SE7,media,2735641,0,2735641,media billing-search::hartm001SE7
hartm001,22,booked,billing-search::hartm001SE8,media,834032,0,834032,media billing-search::hartm001SE8
hartm001,22,booked,billing-progDisplay::hartm001PD1,media,2979500,0,2979500,media billing-progDisplay::hartm001PD1
hartm001,22,booked,billing-progDisplay::hartm001PD2,media,920800,0,920800,media billing-progDisplay::hartm001PD2
hartm001,22,booked,billing-progDisplay::hartm001PD3,media,3452000,0,3452000,media billing-progDisplay::hartm001PD3
hartm001,22,booked,billing-progVideo::hartm001PV1,media,8676800,0,8676800,media billing-progVideo::hartm001PV1
