id,best_practice
2,"{""version"": 1, ""sections"": [{""heading"": ""Publisher overview"", ""items"": [""Publisher type: internal biddable seat (internal_biddable)."", ""Digital channels enabled: Programmatic Display, Programmatic Video, Programmatic BVOD, Programmatic Audio."", ""Internal biddable seat - Assembled activates this in-house through a self-serve/DSP or auction-based platform rather than an insertion order.""]}, {""heading"": ""Programmatic Display"", ""items"": [""Scaled, automated, data-driven display bought from one DSP across many publishers, with the key advantage of cross-publisher frequency deduplication and centralised optimisation."", ""Split prospecting and retargeting into separate line items, weight the PMP-vs-open-exchange mix to brand-safety needs, and apply supply-path optimisation to cut hidden reseller fees."", ""Use pre-bid viewability and brand-safety segments, target viewability above 70% verified by DV/IAS (not DSP-reported), and validate incrementality rather than crediting every view-through.""]}, {""heading"": ""Programmatic Video"", ""items"": [""Scaled, automated video across web, in-app and CTV with centralised audience targeting and cross-publisher frequency control; deploy for awareness/consideration where viewable completed views are the goal."", ""Match format to goal (6s bumpers, skippable, 15s non-skippable), front-load brand in the first 5 seconds, and supply vertical/square cuts with correct VAST specs per exchange."", ""Buy skippable on CPV/CPCV and bumpers on CPM, optimise to viewable completion rather than cheap CPM, and watch for auto-play/muted or fraudulent completions inflating VCR on cheap supply.""]}, {""heading"": ""Programmatic BVOD"", ""items"": [""Buys premium AU BVOD inventory (7plus, 9Now, 10 Play, SBS On Demand) programmatically via PMP/PG, adding DSP-level audience and frequency management to full-screen non-skippable TV-quality reach."", ""Access broadcaster first-party data through PMP deals for demo/geo/genre targeting, supply broadcast-grade 15s/30s masters, and prioritise big-screen/CTV for impact and co-viewing."", ""Traded on CPCV; enforce a single plan-level cross-broadcaster frequency cap in the DSP - over-delivery is the biggest risk when broadcasters cap in isolation.""]}, {""heading"": ""Programmatic Audio"", ""items"": [""Digital audio bought at scale programmatically across streaming, radio streaming and podcast SSPs from one DSP, with centralised frequency management; still an upper-funnel channel."", ""Target by demo/genre/mood/daypart and first-party segments, attach companion banners with a verbal CTA, and separate scalable dynamically-inserted streaming spots from premium host-reads (direct/PMP)."", ""Streaming/podcasts typically trade on CPM while some partners (Spotify) bill CPCL - normalise before comparing; triangulate the immature AU audio measurement with pixels, promo codes and lift studies.""]}, {""heading"": ""Publisher-specific notes"", ""items"": [""DV360 is Google's demand-side platform (a buying tool / seat), not a media owner - the 'publisher' here is the DSP through which Assembled activates programmatic display, video, BVOD and audio."", ""Its strength is one-DSP cross-exchange frequency deduplication and access to YouTube/Google inventory alongside third-party supply; lean on PMP/PG deals for premium AU BVOD and video."", ""Use DV360's own brand-safety and pre-bid controls plus an independent verification layer (DV/IAS), and apply supply-path optimisation to strip reseller fees.""]}]}"
3,"{""version"": 1, ""sections"": [{""heading"": ""Publisher overview"", ""items"": [""Publisher type: internal biddable seat (internal biddable)."", ""Digital channels enabled: Search."", ""Internal biddable seat - Assembled activates this in-house through a self-serve/DSP or auction-based platform rather than an insertion order.""]}, {""heading"": ""Search"", ""items"": [""Harvests existing high-intent demand rather than creating awareness; always run a brand campaign to defend the SERP, and keep brand and non-brand in separate campaigns so blended CPA/ROAS never flatters non-brand."", ""Use Responsive Search Ads (12-15 headlines, 4 descriptions, minimal pinning) with all extensions populated, and maintain a rigorous negative-keyword list reviewed weekly."", ""Match bid strategy to goal (tCPA lead-gen, tROAS ecommerce), give Smart Bidding ~30+ conversions/30 days before tightening targets, and judge on CPA/conversions or ROAS/revenue - CTR and CPC are diagnostics only.""]}, {""heading"": ""Publisher-specific notes"", ""items"": [""Assembled's Google Ads search seat; treat Performance Max with caution and always add brand as an account-level negative so PMax cannot cannibalise and over-credit brand search."", ""Prefer YouTube Select and Demand Gen for controlled reach when extending beyond search, and keep discrete brand vs non-brand campaigns for honest efficiency reads."", ""Use data-driven attribution and enhanced conversions where volume allows so upper-funnel generic terms get fair credit.""]}]}"
4,"{""version"": 1, ""sections"": [{""heading"": ""Publisher overview"", ""items"": [""Publisher type: internal biddable seat (internal_biddable)."", ""Digital channels enabled: Social Media."", ""Internal biddable seat - Assembled activates this in-house through a self-serve/DSP or auction-based platform rather than an insertion order.""]}, {""heading"": ""Social Media"", ""items"": [""Works across the funnel but pick platforms by where the audience genuinely is; lead with broad targeting plus strong creative and let the algorithm find buyers rather than over-narrowing interests."", ""Design creative per placement (9:16 vertical for Reels/Stories/TikTok, 1:1 or 4:5 in-feed), built for sound-off with captions and a hook in the first 1-2 seconds; ship multiple variants per ad set."", ""Implement CAPI (server-side) to recover post-iOS signal, consolidate ad sets to exit learning (~50 events/ad set/week), and reconcile in-platform ROAS against GA4/CRM and incrementality.""]}, {""heading"": ""Publisher-specific notes"", ""items"": [""Assembled's Meta (Facebook/Instagram) biddable seat; default to Advantage+ Shopping/Sales and Advantage+ Audience for consolidated, automation-led performance."", ""Implement the Conversions API (CAPI) server-side to recover post-iOS signal loss and reconcile in-platform ROAS against GA4/CRM."", ""Prioritise Reels and vertical 9:16 creative built sound-off with captions, and consolidate ad sets to exit the learning phase faster (~50 events/ad set/week).""]}]}"
5,"{""version"": 1, ""sections"": [{""heading"": ""Publisher overview"", ""items"": [""Publisher type: direct publisher (direct)."", ""Digital channels enabled: Programmatic Display, Programmatic Video, Programmatic BVOD, Programmatic Audio."", ""Direct publisher - Assembled typically buys via insertion order, PMP or programmatic guaranteed deals negotiated with the publisher/sales house.""]}, {""heading"": ""Programmatic Display"", ""items"": [""Scaled, automated, data-driven display bought from one DSP across many publishers, with the key advantage of cross-publisher frequency deduplication and centralised optimisation."", ""Split prospecting and retargeting into separate line items, weight the PMP-vs-open-exchange mix to brand-safety needs, and apply supply-path optimisation to cut hidden reseller fees."", ""Use pre-bid viewability and brand-safety segments, target viewability above 70% verified by DV/IAS (not DSP-reported), and validate incrementality rather than crediting every view-through.""]}, {""heading"": ""Programmatic Video"", ""items"": [""Scaled, automated video across web, in-app and CTV with centralised audience targeting and cross-publisher frequency control; deploy for awareness/consideration where viewable completed views are the goal."", ""Match format to goal (6s bumpers, skippable, 15s non-skippable), front-load brand in the first 5 seconds, and supply vertical/square cuts with correct VAST specs per exchange."", ""Buy skippable on CPV/CPCV and bumpers on CPM, optimise to viewable completion rather than cheap CPM, and watch for auto-play/muted or fraudulent completions inflating VCR on cheap supply.""]}, {""heading"": ""Programmatic BVOD"", ""items"": [""Buys premium AU BVOD inventory (7plus, 9Now, 10 Play, SBS On Demand) programmatically via PMP/PG, adding DSP-level audience and frequency management to full-screen non-skippable TV-quality reach."", ""Access broadcaster first-party data through PMP deals for demo/geo/genre targeting, supply broadcast-grade 15s/30s masters, and prioritise big-screen/CTV for impact and co-viewing."", ""Traded on CPCV; enforce a single plan-level cross-broadcaster frequency cap in the DSP - over-delivery is the biggest risk when broadcasters cap in isolation.""]}, {""heading"": ""Programmatic Audio"", ""items"": [""Digital audio bought at scale programmatically across streaming, radio streaming and podcast SSPs from one DSP, with centralised frequency management; still an upper-funnel channel."", ""Target by demo/genre/mood/daypart and first-party segments, attach companion banners with a verbal CTA, and separate scalable dynamically-inserted streaming spots from premium host-reads (direct/PMP)."", ""Streaming/podcasts typically trade on CPM while some partners (Spotify) bill CPCL - normalise before comparing; triangulate the immature AU audio measurement with pixels, promo codes and lift studies.""]}, {""heading"": ""Publisher-specific notes"", ""items"": [""Quantcast is an audience/DSP and measurement technology vendor, not a media owner; this direct seat activates its AI-driven audience modelling across programmatic display, video, BVOD and audio."", ""Its edge is real-time, cookieless-ready audience prediction from live web signals rather than owned inventory - brief it on audience/prospecting outcomes."", ""Apply independent verification (DV/IAS) and cross-publisher frequency caps as with any programmatic buy.""]}]}"
6,"{""version"": 1, ""sections"": [{""heading"": ""Publisher overview"", ""items"": [""Publisher type: internal biddable seat (internal_biddable)."", ""Digital channels enabled: Search."", ""Internal biddable seat - Assembled activates this in-house through a self-serve/DSP or auction-based platform rather than an insertion order.""]}, {""heading"": ""Search"", ""items"": [""Harvests existing high-intent demand rather than creating awareness; always run a brand campaign to defend the SERP, and keep brand and non-brand in separate campaigns so blended CPA/ROAS never flatters non-brand."", ""Use Responsive Search Ads (12-15 headlines, 4 descriptions, minimal pinning) with all extensions populated, and maintain a rigorous negative-keyword list reviewed weekly."", ""Match bid strategy to goal (tCPA lead-gen, tROAS ecommerce), give Smart Bidding ~30+ conversions/30 days before tightening targets, and judge on CPA/conversions or ROAS/revenue - CTR and CPC are diagnostics only.""]}, {""heading"": ""Publisher-specific notes"", ""items"": [""Assembled's Microsoft Advertising (Bing/Edge) search seat; import structure from Google then re-optimise rather than running a raw copy, to pick up incremental lower-competition inventory."", ""Typically cheaper CPCs and an older/desktop-skewed AU audience than Google - a useful efficiency and reach extension, not a standalone plan."", ""Keep brand and non-brand separate and mirror the negative-keyword discipline used on Google.""]}]}"
7,"{""version"": 1, ""sections"": [{""heading"": ""Publisher overview"", ""items"": [""Publisher type: internal biddable seat (internal_biddable)."", ""Digital channels enabled: Social Media, Influencers."", ""Internal biddable seat - Assembled activates this in-house through a self-serve/DSP or auction-based platform rather than an insertion order.""]}, {""heading"": ""Social Media"", ""items"": [""Works across the funnel but pick platforms by where the audience genuinely is; lead with broad targeting plus strong creative and let the algorithm find buyers rather than over-narrowing interests."", ""Design creative per placement (9:16 vertical for Reels/Stories/TikTok, 1:1 or 4:5 in-feed), built for sound-off with captions and a hook in the first 1-2 seconds; ship multiple variants per ad set."", ""Implement CAPI (server-side) to recover post-iOS signal, consolidate ad sets to exit learning (~50 events/ad set/week), and reconcile in-platform ROAS against GA4/CRM and incrementality.""]}, {""heading"": ""Influencers"", ""items"": [""AU is a premium influencer market - creator rates typically run ~10-20% above equivalent US rates, so brief and budget accordingly and confirm deliverables and usage terms up front."", ""Brief on engagement rate by tier (a healthy guide is ~3-7%), mandate clear #ad/disclosure to meet ACMA and AANA rules, and secure whitelisting/creator licensing rights where the content will be used for paid amplification.""]}, {""heading"": ""Publisher-specific notes"", ""items"": [""TikTok's biddable seat plus influencer capability; prioritise Spark Ads (boosting organic/creator posts) which consistently outperform standalone in-feed ads."", ""Brief native, sound-on, creator-led vertical creative - TVC cut-downs underperform - and use the TikTok Creator Marketplace for compliant, whitelisted creator partnerships."", ""Reach younger AU audiences here; pair with CAPI-equivalent events and treat in-platform attribution as directional.""]}]}"
8,"{""version"": 1, ""sections"": [{""heading"": ""Publisher overview"", ""items"": [""Publisher type: internal biddable seat (internal_biddable)."", ""Digital channels enabled: Search, Social Media."", ""Internal biddable seat - Assembled activates this in-house through a self-serve/DSP or auction-based platform rather than an insertion order.""]}, {""heading"": ""Search"", ""items"": [""Harvests existing high-intent demand rather than creating awareness; always run a brand campaign to defend the SERP, and keep brand and non-brand in separate campaigns so blended CPA/ROAS never flatters non-brand."", ""Use Responsive Search Ads (12-15 headlines, 4 descriptions, minimal pinning) with all extensions populated, and maintain a rigorous negative-keyword list reviewed weekly."", ""Match bid strategy to goal (tCPA lead-gen, tROAS ecommerce), give Smart Bidding ~30+ conversions/30 days before tightening targets, and judge on CPA/conversions or ROAS/revenue - CTR and CPC are diagnostics only.""]}, {""heading"": ""Social Media"", ""items"": [""Works across the funnel but pick platforms by where the audience genuinely is; lead with broad targeting plus strong creative and let the algorithm find buyers rather than over-narrowing interests."", ""Design creative per placement (9:16 vertical for Reels/Stories/TikTok, 1:1 or 4:5 in-feed), built for sound-off with captions and a hook in the first 1-2 seconds; ship multiple variants per ad set."", ""Implement CAPI (server-side) to recover post-iOS signal, consolidate ad sets to exit learning (~50 events/ad set/week), and reconcile in-platform ROAS against GA4/CRM and incrementality.""]}, {""heading"": ""Publisher-specific notes"", ""items"": [""Emerging AI-assistant search/social seat; treat as experimental incremental reach with limited standardised measurement, not a core performance channel."", ""Set clear test-and-learn objectives and conservative budgets, and reconcile any response back to owned analytics since native reporting is immature.""]}]}"
9,"{""version"": 1, ""sections"": [{""heading"": ""Publisher overview"", ""items"": [""Publisher type: direct publisher (direct)."", ""Digital channels enabled: Digital Display, Digital Audio, BVOD (Broadcaster Video On Demand)."", ""Offline channels enabled (planned outside this digital best-practice, listed for reference): Television, Radio."", ""Direct publisher - Assembled typically buys via insertion order, PMP or programmatic guaranteed deals negotiated with the publisher/sales house.""]}, {""heading"": ""Digital Display"", ""items"": [""Cost-efficient reach, always-on presence and retargeting; strong for warm site/CRM audiences but a low-CTR, largely view-through channel for prospecting."", ""Traffic the full IAB suite (300x250, 728x90, 300x600, 320x50, 320x100) with responsive HTML5 plus static fallbacks; split prospecting and retargeting into separate line items with their own creative, caps and measurement."", ""Lean on contextual, first-party and PMP audiences as third-party cookies deprecate, target viewability above 70% verified independently (DV/IAS), and cap frequency (~3/day) to control cost.""]}, {""heading"": ""Digital Audio"", ""items"": [""Upper-funnel reach and frequency channel for screen-free moments across streaming music, radio streaming and podcasts; not a direct-response workhorse on its own."", ""Write audio-first 15s/30s spots with an early brand mention and single spoken CTA, always attach a clickable companion banner, and use a consistent sonic/audio logo for recall."", ""Note billing differs by partner (Spotify bills CPCL/completed listens vs CPM elsewhere) so normalise before comparing; cap frequency across the buy and triangulate measurement with pixels, promo codes and lift studies.""]}, {""heading"": ""BVOD (Broadcaster Video On Demand)"", ""items"": [""Premium, brand-safe, full-screen non-skippable TV-quality reach in a lean-back environment (AU players: 7plus, 9Now, 10 Play, SBS On Demand); an upper-funnel channel, not click-driven."", ""Use broadcaster first-party login data for demo/geo/genre targeting, supply broadcast-grade 15s/30s masters, and prioritise big-screen/CTV delivery where co-viewing and impact are highest."", ""Traded on CPCV (guaranteed completed views); the biggest risk is over-delivery, so enforce cross-device, cross-broadcaster frequency capping at plan level rather than trusting each publisher's siloed cap.""]}, {""heading"": ""Publisher-specific notes"", ""items"": [""SBS trades direct across TV, radio, digital display, digital audio and SBS On Demand (BVOD); its distinction is genuine multicultural and in-language reach across 60+ communities."", ""Use SBS's in-language and multicultural audience segments for CALD (culturally and linguistically diverse) targeting that mainstream broadcasters cannot match."", ""No gambling/wagering advertising is accepted, and as a public broadcaster it enforces stricter content and category standards - clear creative early."", ""SBS On Demand offers premium, brand-safe, non-skippable BVOD, strong for reaching lighter commercial-TV viewers.""]}]}"
10,"{""version"": 1, ""sections"": [{""heading"": ""Publisher overview"", ""items"": [""Publisher type: direct publisher (direct)."", ""No digital channels enabled for this record."", ""Offline channels enabled (planned outside this digital best-practice, listed for reference): Out-of-Home (OOH)."", ""Direct publisher - Assembled typically buys via insertion order, PMP or programmatic guaranteed deals negotiated with the publisher/sales house.""]}, {""heading"": ""Publisher-specific notes"", ""items"": [""Cartology is Woolworths Group's retail media network; its value is first-party Woolworths shopper/loyalty (Everyday Rewards) data and closed-loop sales measurement."", ""Strongest for endemic FMCG/grocery brands that can tie exposure to actual Woolworths basket/sales outcomes; buy on real-world sales lift, not just reach."", ""Spans in-store, on-site (woolworths.com.au) and off-network extension - confirm which environment each line represents.""]}]}"
11,"{""version"": 1, ""sections"": [{""heading"": ""Publisher overview"", ""items"": [""Publisher type: direct publisher (direct)."", ""Digital channels enabled: Digital Display, Digital Audio, Digital Video, BVOD (Broadcaster Video On Demand), Social Media."", ""Offline channels enabled (planned outside this digital best-practice, listed for reference): Television, Radio, Newspaper, Magazines."", ""Direct publisher - Assembled typically buys via insertion order, PMP or programmatic guaranteed deals negotiated with the publisher/sales house.""]}, {""heading"": ""Digital Display"", ""items"": [""Cost-efficient reach, always-on presence and retargeting; strong for warm site/CRM audiences but a low-CTR, largely view-through channel for prospecting."", ""Traffic the full IAB suite (300x250, 728x90, 300x600, 320x50, 320x100) with responsive HTML5 plus static fallbacks; split prospecting and retargeting into separate line items with their own creative, caps and measurement."", ""Lean on contextual, first-party and PMP audiences as third-party cookies deprecate, target viewability above 70% verified independently (DV/IAS), and cap frequency (~3/day) to control cost.""]}, {""heading"": ""Digital Audio"", ""items"": [""Upper-funnel reach and frequency channel for screen-free moments across streaming music, radio streaming and podcasts; not a direct-response workhorse on its own."", ""Write audio-first 15s/30s spots with an early brand mention and single spoken CTA, always attach a clickable companion banner, and use a consistent sonic/audio logo for recall."", ""Note billing differs by partner (Spotify bills CPCL/completed listens vs CPM elsewhere) so normalise before comparing; cap frequency across the buy and triangulate measurement with pixels, promo codes and lift studies.""]}, {""heading"": ""Digital Video"", ""items"": [""Sight-sound-motion storytelling for awareness and consideration, and a way to extend TV/BVOD reach into lighter and younger, digital-first viewers."", ""Choose format by goal (6s bumpers for reach, skippable in-stream for consideration, 15s non-skippable for a guaranteed message), front-load branding in the first 5 seconds, and supply vertical/square cuts - not just a 16:9 master."", ""Buy skippable on CPV and bumpers/non-skippable on CPM; judge on viewable completion rate (VTR/VCR) verified by DV/IAS, not out-of-view or muted auto-play completions.""]}, {""heading"": ""BVOD (Broadcaster Video On Demand)"", ""items"": [""Premium, brand-safe, full-screen non-skippable TV-quality reach in a lean-back environment (AU players: 7plus, 9Now, 10 Play, SBS On Demand); an upper-funnel channel, not click-driven."", ""Use broadcaster first-party login data for demo/geo/genre targeting, supply broadcast-grade 15s/30s masters, and prioritise big-screen/CTV delivery where co-viewing and impact are highest."", ""Traded on CPCV (guaranteed completed views); the biggest risk is over-delivery, so enforce cross-device, cross-broadcaster frequency capping at plan level rather than trusting each publisher's siloed cap.""]}, {""heading"": ""Social Media"", ""items"": [""Works across the funnel but pick platforms by where the audience genuinely is; lead with broad targeting plus strong creative and let the algorithm find buyers rather than over-narrowing interests."", ""Design creative per placement (9:16 vertical for Reels/Stories/TikTok, 1:1 or 4:5 in-feed), built for sound-off with captions and a hook in the first 1-2 seconds; ship multiple variants per ad set."", ""Implement CAPI (server-side) to recover post-iOS signal, consolidate ad sets to exit learning (~50 events/ad set/week), and reconcile in-platform ROAS against GA4/CRM and incrementality.""]}, {""heading"": ""Publisher-specific notes"", ""items"": [""Nine trades direct across TV, radio, press (masthead/magazines) and digital; 9Now is its BVOD platform, bought on CPCV with full-screen non-skippable delivery."", ""9Galaxy is Nine's data and programmatic trading platform - use it to activate first-party and enriched audience data across 9Now and Nine digital inventory."", ""Nine owns Domain (property) for endemic real-estate audiences, plus mastheads (SMH, The Age, AFR) for premium, brand-safe editorial context."", ""Enforce cross-broadcaster BVOD frequency capping - do not let 9Now, 7plus and 10 Play each cap in isolation.""]}]}"
