mba_number,version_number,version_id,line_item_id,component,month,blob_cents,recompute_cents,delta_cents,delta_dollars,loud
krusty015,2,1168,krusty015SM1,fee,2026-07-01,168478,168478,0,0.0000,0
krusty015,2,1168,krusty015SM1,fee,2026-08-01,168478,168478,0,0.0000,0
krusty015,2,1168,krusty015SM1,fee,2026-09-01,163044,163044,0,0.0000,0
krusty015,2,1168,krusty015SM1,media,2026-07-01,673913,673913,0,0.0000,0
krusty015,2,1168,krusty015SM1,media,2026-08-01,673913,673913,0,0.0000,0
krusty015,2,1168,krusty015SM1,media,2026-09-01,652174,652174,0,0.0000,0
krusty015,2,1168,krusty015SM2,fee,2026-07-01,168478,168478,0,0.0000,0
krusty015,2,1168,krusty015SM2,fee,2026-08-01,168478,168478,0,0.0000,0
krusty015,2,1168,krusty015SM2,fee,2026-09-01,163044,163044,0,0.0000,0
krusty015,2,1168,krusty015SM2,media,2026-07-01,673913,673913,0,0.0000,0
krusty015,2,1168,krusty015SM2,media,2026-08-01,673913,673913,0,0.0000,0
krusty015,2,1168,krusty015SM2,media,2026-09-01,652174,652174,0,0.0000,0
krusty015,3,1169,krusty015SM1,fee,2026-07-01,0,168478,168478,1684.7800,1
krusty015,3,1169,krusty015SM1,fee,2026-08-01,0,168478,168478,1684.7800,1
krusty015,3,1169,krusty015SM1,fee,2026-09-01,0,163044,163044,1630.4400,1
krusty015,3,1169,krusty015SM1,media,2026-07-01,673913,673913,0,0.0000,0
krusty015,3,1169,krusty015SM1,media,2026-08-01,673913,673913,0,0.0000,0
krusty015,3,1169,krusty015SM1,media,2026-09-01,652174,652174,0,0.0000,0
krusty015,3,1169,krusty015SM2,fee,2026-07-01,0,168478,168478,1684.7800,1
krusty015,3,1169,krusty015SM2,fee,2026-08-01,0,168478,168478,1684.7800,1
krusty015,3,1169,krusty015SM2,fee,2026-09-01,0,163044,163044,1630.4400,1
krusty015,3,1169,krusty015SM2,media,2026-07-01,673913,673913,0,0.0000,0
krusty015,3,1169,krusty015SM2,media,2026-08-01,673913,673913,0,0.0000,0
krusty015,3,1169,krusty015SM2,media,2026-09-01,652174,652174,0,0.0000,0
BICAU002,20,1039,BICAU002BV2,media,2026-07-01,35714,35714,0,0.0000,0
BICAU002,20,1039,BICAU002BV2,media,2026-08-01,221429,221429,0,0.0000,0
BICAU002,20,1039,BICAU002BV2,media,2026-09-01,214286,214286,0,0.0000,0
BICAU002,20,1039,BICAU002BV2,media,2026-10-01,178571,178571,0,0.0000,0
BICAU002,20,1039,BICAU002BV3,media,2026-07-01,35714,35714,0,0.0000,0
BICAU002,20,1039,BICAU002BV3,media,2026-08-01,221429,221429,0,0.0000,0
BICAU002,20,1039,BICAU002BV3,media,2026-09-01,214286,214286,0,0.0000,0
BICAU002,20,1039,BICAU002BV3,media,2026-10-01,178571,178571,0,0.0000,0
BICAU002,20,1039,BICAU002BV4,media,2026-07-01,35714,35714,0,0.0000,0
BICAU002,20,1039,BICAU002BV4,media,2026-08-01,221429,221429,0,0.0000,0
BICAU002,20,1039,BICAU002BV4,media,2026-09-01,214286,214286,0,0.0000,0
BICAU002,20,1039,BICAU002BV4,media,2026-10-01,178571,178571,0,0.0000,0
BICAU002,20,1039,BICAU002DV1,media,2026-07-01,130286,130286,0,0.0000,0
BICAU002,20,1039,BICAU002DV1,media,2026-08-01,807771,807771,0,0.0000,0
BICAU002,20,1039,BICAU002DV1,media,2026-09-01,781714,781714,0,0.0000,0
BICAU002,20,1039,BICAU002DV1,media,2026-10-01,104229,104229,0,0.0000,0
BICAU002,20,1039,BICAU002PV1,fee,2026-07-01,24420,0,-24420,-244.2000,1
BICAU002,20,1039,BICAU002PV1,fee,2026-08-01,151404,0,-151404,-1514.0400,1
BICAU002,20,1039,BICAU002PV1,fee,2026-09-01,146520,0,-146520,-1465.2000,1
BICAU002,20,1039,BICAU002PV1,fee,2026-10-01,122100,0,-122100,-1221.0000,1
BICAU002,20,1039,BICAU002PV1,media,2026-07-01,219780,219780,0,0.0000,0
BICAU002,20,1039,BICAU002PV1,media,2026-08-01,1362637,1362638,1,0.0100,0
BICAU002,20,1039,BICAU002PV1,media,2026-09-01,1318681,1318681,0,0.0000,0
BICAU002,20,1039,BICAU002PV1,media,2026-10-01,1098901,1098901,0,0.0000,0
BICAU002,20,1039,BICAU002SM1,fee,2026-07-01,15056,0,-15056,-150.5600,1
BICAU002,20,1039,BICAU002SM1,fee,2026-08-01,93349,0,-93349,-933.4900,1
BICAU002,20,1039,BICAU002SM1,fee,2026-09-01,90337,0,-90337,-903.3700,1
BICAU002,20,1039,BICAU002SM1,fee,2026-10-01,75281,0,-75281,-752.8100,1
BICAU002,20,1039,BICAU002SM1,media,2026-07-01,135506,135506,0,0.0000,0
BICAU002,20,1039,BICAU002SM1,media,2026-08-01,840137,840138,1,0.0100,0
BICAU002,20,1039,BICAU002SM1,media,2026-09-01,813036,813036,0,0.0000,0
BICAU002,20,1039,BICAU002SM1,media,2026-10-01,677530,677530,0,0.0000,0
BICAU002,20,1039,__service__adserving,adserving,2026-07-01,2270,0,-2270,-22.7000,1
BICAU002,20,1039,__service__adserving,adserving,2026-08-01,14077,0,-14077,-140.7700,1
BICAU002,20,1039,__service__adserving,adserving,2026-09-01,13622,0,-13622,-136.2200,1
BICAU002,20,1039,__service__adserving,adserving,2026-10-01,11352,0,-11352,-113.5200,1
