Term,Category,Definition,Formula_or_Notes
1+ Reach,Metric,Audience exposed at least once,
15s,Creative,Fifteen second TV ad,
2+ Reach,Metric,Audience exposed at least twice,
3+ Reach,Metric,Audience exposed at least three times,
30s,Creative,Thirty second TV ad,
3s View,Metric,Video viewed for at least 3 seconds,
6s,Creative,Six second short format,
A/B Test,Testing,Comparison of two variants,
ABN,Commercial,Australian Business Number used for invoicing and contracts,Australian government identifier
Absolute Top Rate,Metric,Ads shown in first position,
Accelerated Delivery,Delivery,Spend faster than even pacing,
Accelerated Pacing,Delivery,Spend delivered faster early in flight,
Accrual,Finance,Recognised cost not yet invoiced,
Accrual Adjustment,Finance,Correction to prior accrual estimate,
Accrued Media,Finance,Media delivered but not yet invoiced,
Actual CPC,Bidding,Amount actually paid per click,
Ad,Structure,Creative delivery unit,
Ad Exchange,Platform,Marketplace connecting DSPs and SSPs,
Ad Extensions,Creative,Additional ad information elements,
Ad Format,Creative,Display video native specification,
Ad Group,Structure,Grouping of ads and keywords,
Ad Pod,Placement,Group of ads within a break,
Ad Rank,Mechanics,Value determining ad position,Bid × Quality × Context
AD RANK,Metric,,","
Ad Relevance,Quality Component,Keyword to ad relevance,
Ad Relevance Diagnostics,Reporting,Quality feedback indicators,Meta
Ad Set,Structure,Audience budget and optimisation container,Meta naming
Ad Set Budget,Budgeting,Budget set at ad set level,
Ad Strength,Creative,Google diagnostic ad quality indicator,
Add to Cart,Metric,Item added to cart event,
Addressable CPM,Metric,Cost per thousand addressable impressions,
Addressable TV,Formula,Channel,"TV,Household-level targeted TV ads"
Ads.txt,Governance,File authorising sellers of inventory,
Advanced TV,Channel,Data-driven TV buying umbrella,
Advantage Plus Audience,Audience,Automated audience expansion,Meta branding
Advantage Plus Shopping,Creative,Automated commerce campaign type,Meta branding
Advertiser Account,Account,Client-level DSP entity,
Affiliate,Channel,Commission based partnerships,
Agency Fee,Finance,Fixed or time-based service charge,
Aggregated Event Measurement,Tracking,Privacy-restricted event ranking,Meta framework
All Conversions,Tracking,Includes primary and secondary conversions,
Always-on,Planning,Ongoing campaign without fixed end date,
Amazon Ads,Commerce,Amazon advertising platform,
AOR,Commercial,Agency of Record appointment,
AOV,Metric,Average Order Value,Revenue / Orders
API,Tech,System data interface,
App-ads.txt,Governance,App equivalent of ads.txt,
Arbitrage,Trading,Buying low selling high inventory,
Aspect Ratio,Creative,Width to height format,
Asset,Creative,Ad creative file,
Assets,Creative,New naming for extensions,
Attention,Delivery,Time based exposure metric,
Attribution,Measurement,Process of assigning credit to touchpoints,
Attribution Window,Tracking,Time allowed for conversion credit,
Auction,Mechanics,Process determining ad eligibility and position,
Auction Insights,Reporting,Competitive auction comparison,
Auction Time Bidding,Mechanics,Bids evaluated per query in real time,
Audience,Audience,Defined viewing demographic,
Audience Bid Adjustment,Bidding,Bid modifier for audiences,
Audience Delivery,Delivery,Actual delivered ratings,
Audience Expansion,Audience,Algorithmic reach beyond defined audience,
Audience Flow,Metric,Movement between programs,
Audience Network,Placement,Off-platform placements,Meta
Auto-tagging,Tracking,Automatic URL parameter tagging,
Automatic Placements,Delivery,Platform-selected placements,
Average Audience,Metric,Mean viewers per program,
Average Frequency,Metric,Alias of Frequency,
Avg Monthly Searches,Metric,Alias of Search Volume,
AVOD,Channel,Advertising Supported Video On Demand,
Base Bid,Bidding,Initial bid before modifiers,
Baseline,Measurement,Expected result without media,
Behaviour Targeting,Audience,Behaviour-based targeting,
Bid,Bidding,Amount advertiser is willing to pay,
Bid Adjustment,Bidding,Modifier applied to base bid,
Bid Cap,Bidding,Maximum bid limit,
Bid Floor,Mechanics,Minimum acceptable price set by seller,
Bid Multiplier,Bidding,Adjustment applied to base bid,
Bid Rate,Supply,Percentage of requests bid on,Bids / Requests * 100
BID RATE,Metric,,"Bids / Requests * 100,"
Bid Request,Mechanics,Impression opportunity sent to DSP,
Bid Response,Mechanics,DSP bid returned to exchange,
Bid Shading,Bidding,Lowering bids in first-price auctions,
Bid Stacking,Strategy,Multiple bid modifiers compounding,
Bid Strategy,Mechanics,Rule governing bid behaviour,
BigQuery,Tech,Google data warehouse,
Billing Month,Finance,Month in which spend is recognised,
Billing Schedule,Finance,Planned monthly billing breakdown,
Blacklisting,Governance,Excluded inventory list,
Blended ROAS,Metric,ROAS across campaigns or channels,
Bonus Spots,Delivery,Additional spots provided at no cost,
Bot Traffic,Governance,Automated non-human traffic,
Brand Defense,Strategy,Protecting branded queries,
Brand Lift,Measurement,Survey-based brand impact study,
Brand Safety,Governance,Controls to avoid unsafe content,
Brand Search,Structure,Searches containing brand name,
Brief,Planning,Client requirements document,
Broad Match,Match Type,Triggers on related queries via intent,
Broad Match Expansion,Mechanics,Algorithmic query expansion,
Broadcast TV,Channel,Alias of Linear TV,
Broadcaster Video On Demand,Channel,Alias of BVOD,
Budget,Planning,Approved spend limit for media or services,
Budget Cap,Delivery,Maximum spend allowed,
Burst,Planning,High-intensity spend period within a flight,
BVOD,Channel,Broadcaster Video On Demand in Australia,
BVOD Completion Rate,Metric,Completed views divided by starts,
BVOD CPM,Metric,Cost per thousand BVOD impressions,
BVOD CPV,Metric,Cost per BVOD video view,
BVOD Impression,Metric,Digital video ad serving,
BVOD Reach,Metric,Unique viewers reached via BVOD,
Call Extension,Creative,Clickable phone number,
Call to Action,Creative,User instruction,
Callouts,Creative,Short benefit statements,
Campaign,Structure,Top-level buying container,
Campaign Budget Optimisation,Budgeting,Automatic budget allocation,Meta
Campaign Level Optimisation,Optimisation,Optimising at campaign level,
Cannibalisation,Optimisation,Keywords competing internally,
CAPI,Tracking,Meta server side conversions,
Cartology,Retail Media,Woolworths retail media network (AU),
Catch-up TV,Channel,On-demand replay of broadcast content,
Category Contextual,Targeting,Content category targeting,
CBO,Budgeting,Campaign Budget Optimisation,Meta automation
CDP,Tech,Customer Data Platform,
Change Request,Operations,Logged scope or delivery change,
Clearing Price,Mechanics,Price paid after auction clears,
Click,Engagement,User interaction with an ad,
Click Attribution,Tracking,Conversions credited after click,
Click Through Conversion,Tracking,Conversion after ad click,
Click Through Rate,Metric,Alias of CTR,
Client-side Tracking,Tracking,Browser based tracking,
Client-Side Tracking,Tracking,Events sent from browser,
Close Variant,Match Type,Plural misspelling or reordered terms,
CM360,Channel,Google Campaign Manager,
CMP,Privacy,Consent Management Platform,
Coles 360,Retail Media,Coles retail media network (AU),
Commercial Intent,Optimisation,Purchase-driven search behaviour,
Commission,Finance,Percentage of media spend earned by agency,
Companion Banner,Format,Display unit alongside video,
Competition,Metric,Relative advertiser density,
Competitive Weight,Planning,Relative GRP investment,
